time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
0,24.138314,77.436193,68.3268237,45.255258,
1,24.145754,77.554896,68.95450722,45.670825,45.255258
2,24.124451,77.838852,68.69653623,46.10108,45.670825
3,24.135948,77.836525,68.69653623,46.526463,46.10108
4,24.138031,77.722826,68.69653623,46.96352,46.526463
5,24.135235,77.917173,68.69653623,47.442459,46.96352
6,24.137939,77.476227,68.66572685,47.892937,47.442459
7,24.131027,77.342977,68.19306908,48.362326,47.892937
8,24.13046,77.127101,68.6041081,48.835281,48.362326
9,24.13366,77.7397,68.43867399,49.315602,48.835281
10,24.124783,77.657539,68.05491631,49.812846,49.315602
11,24.130772,77.631937,68.19621645,50.312268,49.812846
12,24.142967,77.512419,68.21151237,50.828189,50.312268
13,24.134347,77.29922,68.4540243,51.33826,50.828189
14,24.137809,77.56665,68.05491631,51.849142,51.33826
15,24.143295,77.703275,68.69653623,52.381439,51.849142
16,24.130284,77.679069,68.05491631,52.895735,52.381439
17,24.132718,77.957671,68.4540243,53.425164,52.895735
18,24.135357,77.223692,68.4540243,53.967234,53.425164
19,24.132059,77.461912,67.8138183,54.493669,53.967234
20,24.142717,77.895062,67.8138183,55.033325,54.493669
21,24.135614,77.807664,68.21151237,55.564286,55.033325
22,24.147551,77.795677,68.4540243,56.120615,55.564286
23,24.14407,77.985136,68.21151237,56.646255,56.120615
24,24.13299,77.971753,67.8138183,57.197844,56.646255
25,24.154048,77.878071,68.4540243,57.733156,57.197844
26,24.138095,77.946849,67.82911423,58.284428,57.733156
27,24.134065,77.486235,67.82911423,58.819088,58.284428
28,24.134501,77.249062,67.85970608,59.353024,58.819088
29,24.132344,76.999553,67.82911423,59.895314,59.353024
30,24.1315,77.445154,68.1656246,60.438307,59.895314
31,24.130888,77.498803,67.98424199,60.973779,60.438307
32,24.12048,77.433168,68.2268083,61.498049,60.973779
33,24.134733,77.541048,68.07026662,62.034066,61.498049
34,24.123383,77.363692,68.2268083,62.550041,62.034066
35,24.130017,77.475179,67.82911423,63.080253,62.550041
36,24.124603,77.945685,68.2268083,63.604499,63.080253
37,24.105417,77.445969,68.2268083,64.123356,63.604499
38,24.111775,77.364739,68.07026662,64.633764,64.123356
39,24.118884,77.343093,68.46937461,65.155357,64.633764
40,24.103504,77.648928,68.2268083,65.667147,65.155357
41,24.104019,77.514398,68.2268083,66.174581,65.667147
42,24.09458,77.238705,68.2268083,66.670503,66.174581
43,24.104171,77.452021,67.82911423,67.165122,66.670503
